id,category,priority,tone,state,domain,format,text,filename,file,tags
fb-correct-first-try-001,feedback.correct,must_have,warm,first_try,any,,"Yes, first try. You saw it quickly.",fb-correct-first-try-001.mp3,future/feedback/correct/fb-correct-first-try-001.mp3,correct|first_try
fb-correct-first-try-002,feedback.correct,must_have,warm,first_try,any,,That clicked right away. Nice thinking.,fb-correct-first-try-002.mp3,future/feedback/correct/fb-correct-first-try-002.mp3,correct|first_try
fb-correct-first-try-003,feedback.correct,must_have,warm,first_try,any,,You matched the answer on the first try.,fb-correct-first-try-003.mp3,future/feedback/correct/fb-correct-first-try-003.mp3,correct|first_try
fb-correct-first-try-004,feedback.correct,must_have,warm,first_try,any,,Clean solve. You knew what to look for.,fb-correct-first-try-004.mp3,future/feedback/correct/fb-correct-first-try-004.mp3,correct|first_try
fb-correct-first-try-005,feedback.correct,must_have,warm,first_try,any,,That was careful and quick.,fb-correct-first-try-005.mp3,future/feedback/correct/fb-correct-first-try-005.mp3,correct|first_try
fb-correct-first-try-006,feedback.correct,must_have,warm,first_try,any,,You found the important clue.,fb-correct-first-try-006.mp3,future/feedback/correct/fb-correct-first-try-006.mp3,correct|first_try
fb-correct-first-try-007,feedback.correct,must_have,warm,first_try,any,,Nice work. Your strategy was ready.,fb-correct-first-try-007.mp3,future/feedback/correct/fb-correct-first-try-007.mp3,correct|first_try
fb-correct-first-try-008,feedback.correct,must_have,warm,first_try,any,,That answer fits perfectly.,fb-correct-first-try-008.mp3,future/feedback/correct/fb-correct-first-try-008.mp3,correct|first_try
fb-correct-first-try-009,feedback.correct,must_have,warm,first_try,any,,You solved it without needing a hint.,fb-correct-first-try-009.mp3,future/feedback/correct/fb-correct-first-try-009.mp3,correct|first_try
fb-correct-first-try-010,feedback.correct,must_have,warm,first_try,any,,Great start. Keep that focus.,fb-correct-first-try-010.mp3,future/feedback/correct/fb-correct-first-try-010.mp3,correct|first_try
fb-correct-first-try-011,feedback.correct,must_have,warm,first_try,any,,You noticed the answer right away.,fb-correct-first-try-011.mp3,future/feedback/correct/fb-correct-first-try-011.mp3,correct|first_try
fb-correct-first-try-012,feedback.correct,must_have,warm,first_try,any,,That was a confident first choice.,fb-correct-first-try-012.mp3,future/feedback/correct/fb-correct-first-try-012.mp3,correct|first_try
fb-correct-first-try-013,feedback.correct,must_have,warm,first_try,any,,Sharp thinking on the first pass.,fb-correct-first-try-013.mp3,future/feedback/correct/fb-correct-first-try-013.mp3,correct|first_try
fb-correct-first-try-014,feedback.correct,must_have,warm,first_try,any,,You read the problem and solved it.,fb-correct-first-try-014.mp3,future/feedback/correct/fb-correct-first-try-014.mp3,correct|first_try
fb-correct-first-try-015,feedback.correct,must_have,warm,first_try,any,,Your first idea was the right one.,fb-correct-first-try-015.mp3,future/feedback/correct/fb-correct-first-try-015.mp3,correct|first_try
fb-correct-first-try-016,feedback.correct,must_have,warm,first_try,any,,That was a strong first try.,fb-correct-first-try-016.mp3,future/feedback/correct/fb-correct-first-try-016.mp3,correct|first_try
fb-correct-first-try-017,feedback.correct,must_have,warm,first_try,any,,You checked the helper and chose well.,fb-correct-first-try-017.mp3,future/feedback/correct/fb-correct-first-try-017.mp3,correct|first_try
fb-correct-first-try-018,feedback.correct,must_have,warm,first_try,any,,Excellent first-step thinking.,fb-correct-first-try-018.mp3,future/feedback/correct/fb-correct-first-try-018.mp3,correct|first_try
fb-correct-after-retry-001,feedback.correct,must_have,warm,after_retry,any,,Nice fix. You changed your thinking and got it.,fb-correct-after-retry-001.mp3,future/feedback/correct/fb-correct-after-retry-001.mp3,correct|after_retry
fb-correct-after-retry-002,feedback.correct,must_have,warm,after_retry,any,,"That is how learning works. Try, adjust, solve.",fb-correct-after-retry-002.mp3,future/feedback/correct/fb-correct-after-retry-002.mp3,correct|after_retry
fb-correct-after-retry-003,feedback.correct,must_have,warm,after_retry,any,,You checked it again and found the answer.,fb-correct-after-retry-003.mp3,future/feedback/correct/fb-correct-after-retry-003.mp3,correct|after_retry
fb-correct-after-retry-004,feedback.correct,must_have,warm,after_retry,any,,Good comeback. You stayed with the problem.,fb-correct-after-retry-004.mp3,future/feedback/correct/fb-correct-after-retry-004.mp3,correct|after_retry
fb-correct-after-retry-005,feedback.correct,must_have,warm,after_retry,any,,You used the mistake to find the right path.,fb-correct-after-retry-005.mp3,future/feedback/correct/fb-correct-after-retry-005.mp3,correct|after_retry
fb-correct-after-retry-006,feedback.correct,must_have,warm,after_retry,any,,That second look helped.,fb-correct-after-retry-006.mp3,future/feedback/correct/fb-correct-after-retry-006.mp3,correct|after_retry
fb-correct-after-retry-007,feedback.correct,must_have,warm,after_retry,any,,You corrected the tricky part.,fb-correct-after-retry-007.mp3,future/feedback/correct/fb-correct-after-retry-007.mp3,correct|after_retry
fb-correct-after-retry-008,feedback.correct,must_have,warm,after_retry,any,,You kept going and solved it.,fb-correct-after-retry-008.mp3,future/feedback/correct/fb-correct-after-retry-008.mp3,correct|after_retry
